category,c-upper,subcategory-1,sc-upper,subcategory-2,sc2-upper,name,name-upper,articul,color,size,,,image-src
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/725ab2e5536ce3eac0a8dd17d083ff4e_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/0dc247c07eee71a72cf9409729fb3455_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/471bd07fdaa7b040f7ab8b2a13f8f35b_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/1d36d23b156ead252433d4ce2c21c387_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/53bed31cb74891ae64a31e4c592ef86d_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/52ec984cc72302fd412e2aa145a6526c_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/7a6fe08027b80ee08bda1ed60d73e334_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/da8a96cfc8ca1dd33bc42677c8b9c7c6_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/8da476f72f06a276b1f930cdb28c21f1_L.jpg
Брошки,БРОШКИ,Металл,МЕТАЛЛ,,,Брошка металлическая,БРОШКА МЕТАЛЛИЧЕСКАЯ,,,,,,http://velmode.by/media/k2/items/cache/1c6c813bb9d5494160041c1c4ee2fb70_L.jpg
